orig_ID,serial_num,0,1,2,3,4,mean,SD
3326,1,-0.28410603,1.309590288,,1.555084457,0.585348061,0.791479194,0.826822376
87389,2,0.830035264,,-0.113612426,0.627999374,-0.010288264,0.333533487,0.465967466
106213,3,0.690767603,,-0.113612426,,,0.288577588,0.568782573
30678,4,,0.324935936,1.549008449,-1.064938604,,0.269668594,1.307849631
144101,5,0.133696955,-0.16739124,0.094215183,-0.218469615,1.235133142,0.215436885,0.590759849
74330,6,0.412232279,-0.577663887,0.094215183,1.111695939,-0.118585777,0.184378747,0.630963619
151833,7,,1.719862935,-0.529267645,-0.661858133,,0.176245719,1.338454572
149531,8,-0.562641354,2.540408228,-1.499129822,,,0.159545684,2.114387028
134536,9,0.412232279,-0.659718416,,2.280629305,-1.526453454,0.126672429,1.640356709
106714,10,0.551499941,-0.249445769,,0.305534997,-0.226883291,0.095176469,0.397898143
97136,11,-0.562641354,,0.648422141,1.474468363,-1.634750967,-0.018625454,1.364074364
99431,12,0.272964617,,0.024939313,0.305534997,-0.984965886,-0.09538174,0.60614915
87226,13,0.551499941,-0.741772945,-0.113612426,-1.145554699,0.42290179,-0.205307668,0.73274695
88186,14,0.969302926,-0.249445769,,-0.097545474,-1.526453454,-0.226035443,1.022574942
70602,15,0.133696955,-0.372527563,-1.014198734,,,-0.417676447,0.575278145
146566,16,,-0.003282181,-0.598543515,-0.137853521,-1.147412156,-0.471772843,0.517540626
118038,17,-0.980444339,-0.700745681,-1.014198734,-1.024630557,1.235133142,-0.496977234,0.977420647
12945,18,,-0.372527563,-0.875646994,-0.420009851,-0.389329561,-0.514378492,0.241646637
141731,19,-0.005570706,,-1.429853953,,-1.688899724,-1.041441461,0.906392488
50662,20,,-0.700745681,,,-1.58060221,-1.140673945,0.622152519
