,number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,upper_rank,lower_rank,mean_rank
Vt,2898,0.131637519872814,3258,0.07313952183185543,0.13629208360990852,0.3123779296875,0.17040192646233351,0.10207493997762432,24.0,16.0,20.7036
Vm,394,0.017896888485123778,413,0.009271523178807948,0.14648506374460518,0.3376312255859375,0.25182526070203015,0.04415622945547509,26.0,8.0,20.3334
V0,418,0.01898705428117193,449,0.01007969469076215,0.08592065797617227,0.27734375,0.17133821025470228,0.000566008171398371,23.0,3.0,13.8103
Vform,1334,0.060595048830342946,1423,0.031945223930856435,0.23653978481032503,0.4167022705078125,0.29094338481518955,0.18271097354786525,27.0,24.0,25.7576
SVA,1403,0.06372927549398137,1467,0.0329329891121338,0.1743775320600186,0.35260009765625,0.22456963903016308,0.1253400738674399,26.0,20.0,23.4619
ArtOrDet,5530,0.25119236883942764,6563,0.14733415647098438,0.02730810911940627,0.2113800048828125,0.05044021995125064,0.004187985985525035,9.0,2.0,5.4205
Nn,3294,0.14962525550760844,3754,0.08427432932989112,0.0868898101970146,0.2746124267578125,0.11859418432052117,0.05629249246542772,19.0,9.0,14.1013
Npos,222,0.010084033613445379,248,0.005567403749017847,-0.010825542060633077,0.1737213134765625,0.10088948331712662,-0.1153451702772644,16.0,0.0,3.7221
Pform,167,0.007585736997501704,171,0.003838814681782467,0.004464339477679659,0.185577392578125,0.1399014383319183,-0.13344717858942992,21.0,0.0,5.4305
Pref,817,0.037111060640472406,929,0.020855314850151532,0.034227505700648,0.2237548828125,0.09507030015913073,-0.027723594069605086,15.0,1.0,6.7934
Prep,2328,0.10574608221667045,2473,0.05551689302952071,0.07244406797744825,0.260284423828125,0.11047054596704703,0.03270098167074217,18.0,6.0,11.9106
Wci,4599,0.20890302066772656,5482,0.12306656190369289,0.04172800535497964,0.227142333984375,0.06642108128704853,0.017639625519332708,12.0,3.0,7.4364
Wa,57,0.002589143765614354,58,0.0013020541025928836,0.029100515523993165,0.2147216796875,0.29823148910869274,-0.22566210037751644,26.0,0.0,9.4636
Wform,2095,0.09516238928003634,2262,0.05078011000112246,0.12736072177913926,0.3131256103515625,0.16807841146434507,0.08583949890211066,24.0,14.0,19.6548
Wtone,556,0.025255507608448784,599,0.013447075990571333,0.052490710949023085,0.2373504638671875,0.12422396976688754,-0.019043384967646397,19.0,2.0,9.2681
Srun,775,0.035203270497388146,828,0.018587944774946682,0.07698427657823181,0.2635498046875,0.14101277885926697,0.013249223262312327,22.0,4.0,12.6027
Smod,58,0.0026345673404496936,58,0.0013020541025928836,0.41387753487541357,0.5985260009765625,0.7290377500523473,0.12412633310547601,27.0,20.0,26.3885
Spar,463,0.021031115148762207,499,0.011202155124031879,0.07755953963973213,0.260894775390625,0.15480400550457682,-4.980434059863575e-05,23.0,3.0,12.6526
Sfrag,158,0.007176924823983647,161,0.0036143225951285217,0.10692825673992909,0.2938385009765625,0.24386977973453697,-0.026265067750853733,26.0,2.0,15.9071
Ssub,311,0.014126731773790598,328,0.007363340442249411,0.04931773751228307,0.239105224609375,0.15856973327233728,-0.05735675140130154,23.0,1.0,9.3471
WOinc,648,0.029434476493300023,696,0.015624649231114604,0.09422794318732976,0.279266357421875,0.1588626944868537,0.030077281764345244,23.0,6.0,15.0541
WOadv,289,0.013127413127413128,316,0.0070939499382646765,0.03379152958653523,0.2182769775390625,0.12839386175767625,-0.05824542686331778,20.0,0.0,7.3275
Trans,1192,0.054144901203724734,1270,0.02851049500505107,0.08999416116036002,0.275543212890625,0.1425094049401262,0.03815679974814552,22.0,6.0,14.5291
Mec,2486,0.1129230070406541,2899,0.06508025592097878,0.12198424583640796,0.3056793212890625,0.15656055439482688,0.08882191086443032,23.0,14.0,19.1396
Rloc-,4072,0.1849647967295026,5022,0.11273992591761141,0.0976800755893312,0.282379150390625,0.12223736993371846,0.0736580200293618,20.0,11.0,15.7565
Cit,379,0.017215534862593685,394,0.00884498821416545,-0.0475198593501545,0.138519287109375,0.043524576241876854,-0.1349002977951595,7.0,0.0,1.434
Others,1380,0.06268453327276857,1463,0.03284319227747222,0.033515907559166884,0.2194976806640625,0.08216157787267324,-0.016019695560679583,14.0,1.0,6.512
Um,1030,0.04678628208039973,1062,0.02384105960264901,0.1889123197427543,0.3732452392578125,0.25218650902555517,0.12646300273254016,26.0,20.0,24.0811
TotalMistakes,22015,1.0,44545,1.0,0.0,-178276705074.18533,,,,,
