number_of_sentences,perc_of_sentences,total_appearance,perc_of_appearance,weights,regularized_weights,upper,lower,std,upper_rank,lower_rank,std_ranks,mean_rank
1279,0.08354016982364468,1430.0,0.040033594624860024,0.04230276016084274,-1194003097723.5867,0.08630414834778527,0.00478624840677334,2.991237202229205,23.0,13.0,0.02282381491873536,19.25
2115,0.1381450032658393,2334.0,0.06534154535274356,-0.021292026652860667,-1194003097723.6475,0.01607385932914327,-0.055355259155226974,3.0966271974520923,15.0,4.0,0.02082989481939629,8.97
1798,0.11743958197256694,1997.0,0.05590705487122061,-0.023506939100932808,-1194003097723.6484,0.016091473089026337,-0.05925191061954823,3.1061873736141545,15.0,4.0,0.02048049075479355,8.54
2503,0.16348791639451338,2704.0,0.07569988801791713,0.009845925454020658,-1194003097723.6104,0.04096572349019459,-0.01636480285772853,3.5000000000000004,20.0,9.0,0.017529296722615138,14.9
508,0.03318092749836708,535.0,0.014977603583426652,0.004841333523091168,-1194003097723.6182,0.1014146138660721,-0.046087976266762434,5.489845170858646,23.0,5.0,0.04050075977815468,14.96
102,0.00666231221423906,105.0,0.0029395296752519596,-0.09115722377389178,-1194003097723.719,0.091114250192469,-0.2377871704585137,5.585436419833279,22.0,1.0,0.08511349523645538,5.27
639,0.041737426518615284,667.0,0.018673012318029116,-0.04009974502239698,-1194003097723.6665,0.023867707801899226,-0.09978995930584637,4.433271929399323,19.0,3.0,0.03707634299570899,7.19
260,0.016982364467668192,267.0,0.0074748040313549835,0.04172693186372381,-1194003097723.5798,0.1344144801089439,-0.06266801323483727,6.320601237224193,24.0,3.0,0.05715712251707053,17.3
278,0.01815806662312214,291.0,0.00814669652855543,0.06093722577774149,-1194003097723.5613,0.15821121032115598,-0.0666953298152662,6.019601315701896,24.0,3.0,0.05926950591990138,18.62
4466,0.29170476812540824,5154.0,0.14428891377379618,0.002349766799277093,-1194003097723.6238,0.027755740436757294,-0.01823354077321269,3.047884512247798,19.0,8.0,0.012962944971429708,13.52
5938,0.38785107772697586,8722.0,0.24417693169092944,0.010804121090658068,-1194003097723.6147,0.029775143494385377,-0.0036621854883895234,2.778686740170615,19.0,10.0,0.009840998352508559,14.83
756,0.04937949052906597,766.0,0.021444568868980964,0.01658165250690652,-1194003097723.6143,0.09288406048060381,-0.044789304273475064,5.815591113549852,24.0,6.0,0.0396216885927923,16.17
307,0.020052253429131285,314.0,0.008790593505039194,0.010715313057609538,-1194003097723.6106,0.10200522204771145,-0.07177869197125701,6.515174594744181,23.0,4.0,0.04950421552724739,12.95
2565,0.1675375571521881,2888.0,0.08085106382978724,-0.00965309509926037,-1194003097723.6353,0.015225473496479309,-0.04402971580740935,3.234192325759246,17.0,5.0,0.017411837990500046,10.4
41,0.0026779882429784456,44.0,0.0012318029115341545,-0.16445358289860595,-1194003097723.7886,0.3349524725313752,-0.6360426619074265,8.830379380298448,24.0,0.0,0.2624142940005236,6.62
1808,0.11809274983670803,2099.0,0.058762597984322505,0.0138012720443903,-1194003097723.6108,0.048014512355262294,-0.017221470959916305,3.678097334220507,21.0,9.0,0.01917818495302068,15.46
243,0.015871979098628346,243.0,0.006802911534154535,0.030685999512265187,-1194003097723.5913,0.14611950833018822,-0.05045879304650343,6.541215483379216,24.0,5.0,0.058542737109238296,16.45
23,0.0015022860875244938,23.0,0.0006438969764837626,-0.2018745658463999,-1194003097723.8257,0.096855441189885,-0.4915637323378228,7.109789026405777,23.0,0.0,0.17940997333357372,4.47
1095,0.07152188112344873,1166.0,0.0326427771556551,0.022128231404943098,-1194003097723.6018,0.07975518030218821,-0.0354484402845341,5.056589759907363,23.0,7.0,0.032566710703643774,16.03
220,0.014369693011103853,221.0,0.006187010078387458,-0.03585379800012466,-1194003097723.66,0.08367496947574692,-0.12116122126740811,6.437973283573022,23.0,2.0,0.06044092353934904,8.65
1854,0.12109732201175702,1957.0,0.054787234042553194,0.023282727656596558,-1194003097723.6035,0.06145778572742036,-0.014176788412049657,4.001299788818628,22.0,9.0,0.02194072716736296,16.64
5,0.00032658393207054214,5.0,0.00013997760358342665,-0.28271198667418923,-1194003097723.9062,0.2398589899229681,-0.7742659290198916,8.207825534208192,24.0,0.0,0.29029196953037417,4.46
380,0.024820378837361202,396.0,0.01108622620380739,-0.08589865968712197,-1194003097723.7104,-0.009629011288575249,-0.17253590557902027,2.9348935244740995,12.0,1.0,0.048013588541026116,4.08
1175,0.0767472240365774,1252.0,0.03505039193729003,-0.029739757789210158,-1194003097723.6533,0.015443659243919385,-0.07646026879511221,3.360714209807196,15.0,4.0,0.0256393466217567,8.16
138,0.009013716525146962,140.0,0.003919372900335946,0.02186075070008388,-1194003097723.6016,0.17682657686453612,-0.12063711060014634,7.967301927252412,24.0,2.0,0.08829147373555657,16.11
15310,1.0,35720.0,1.0,0.0,1015726392649.6235,,,,,,,
